Date,Amount,Description
2024-07-01,2800.00,GEHALT - Monatsgehalt Juli 2024
2024-07-02,-45.99,BAUHAUS WIEN - Schrauben und Werkzeug
2024-07-03,-23.50,BILLA SUPERMARKT - Lebensmittel
2024-07-04,-89.90,HORNBACH SALZBURG - Holz und Farbe
2024-07-05,-12.80,MCDONALDS WIEN - Mittagessen
2024-07-06,-156.70,MERKUR MARKT - Wocheneinkauf
2024-07-07,-67.40,SHELL TANKSTELLE - Benzin
2024-07-08,-234.50,OBI GRAZ - Sanitär und Elektro
2024-07-09,-45.20,WIENER LINIEN - Monatskarte
2024-07-10,-78.90,AMAZON.AT - Online Bestellung
2024-07-11,-123.45,HORNBACH LINZ - Garten und Terasse
2024-07-12,-34.60,SPAR SUPERMARKT - Lebensmittel
2024-07-13,-89.99,BAUMAX INNSBRUCK - Dämmmaterial
2024-07-14,-56.30,RESTAURANT FIGLMÜLLER - Abendessen
2024-07-15,500.00,FREELANCE PROJEKT - Webentwicklung 
