Date,Amount,Description
2024-01-15,-45.99,BAUHAUS WIEN - Schrauben und Werkzeug
2024-01-16,-23.50,BILLA SUPERMARKT - Lebensmittel
2024-01-17,2500.00,GEHALT - Monatsgehalt Januar
2024-01-18,-89.90,HORNBACH SALZBURG - Holz und Farbe
2024-01-19,-12.40,OMV TANKSTELLE - Benzin
2024-01-20,-150.00,STROM AG - Stromrechnung
2024-01-21,-67.80,OBI LINZ - Gartenwerkzeug
2024-01-22,-35.20,RESTAURANT VIENNA - Abendessen
2024-01-23,-25.00,ÖFFI JAHRESKARTE - Öffentliche Verkehrsmittel
2024-01-24,-199.99,BAUMAX GRAZ - Sanitär Zubehör 
